"pick_number","name","code","year","all_star","all_nba1","all_nba2","all_nba3"
39,"Millard,Russ",NA,1996,0,0,0,0
40,"Mann,Marcus",NA,1996,0,0,0,0
41,"Sasser,Jason","sasseja01",1996,0,0,0,0
42,"Livingston,Randy","livinra01",1996,0,0,0,0
43,"Davis,Ben","davisbe01",1996,0,0,0,0
44,"Rose,Malik","rosema01",1996,0,0,0,0
45,"Vogel,Joe",NA,1996,0,0,0,0
46,"Brown,Marcus","brownma01",1996,0,0,0,0
47,"Riley,Ron",NA,1996,0,0,0,0
48,"Feick,Jamie","feickja01",1996,0,0,0,0
49,"McCaskill,Amal","mccasam01",1996,0,0,0,0
50,"Bell,Terrell",NA,1996,0,0,0,0
51,"Robinson,Chris","robinch01",1996,0,0,0,0
52,"Pope,Mark","popema01",1996,0,0,0,0
53,"Nordgaard,Jeff","nordgje01",1996,0,0,0,0
54,"Anderson,Shandon","andersh01",1996,0,0,0,0
55,"Henderson,Ronnie",NA,1996,0,0,0,0
56,"Geary,Reggie","gearyre01",1996,0,0,0,0
57,"Barry,Drew","barrydr01",1996,0,0,0,0
58,"Robinson,Darnell",NA,1996,0,0,0,0
1,"Duncan,Tim","duncati01",1997,15,10,3,2
2,"Van Horn,Keith","vanhoke01",1997,0,0,0,0
3,"Billups,Chauncey","billuch01",1997,5,0,1,2
4,"Daniels,Antonio","daniean01",1997,0,0,0,0
5,"Battie,Tony","battito01",1997,0,0,0,0
6,"Mercer,Ron","mercero01",1997,0,0,0,0
7,"Thomas,Tim","thomati01",1997,0,0,0,0
8,"Foyle,Adonal","foylead01",1997,0,0,0,0
9,"McGrady,Tracy","mcgratr01",1997,7,2,3,2
10,"Fortson,Danny","fortsda01",1997,0,0,0,0
11,"Abdul-Wahad,Tariq","abdulta01",1997,0,0,0,0
12,"Croshere,Austin","croshau01",1997,0,0,0,0
13,"Anderson,Derek","anderde01",1997,0,0,0,0
14,"Taylor,Maurice","tayloma01",1997,0,0,0,0
15,"Cato,Kelvin","catoke01",1997,0,0,0,0
16,"Knight,Brevin","knighbr01",1997,0,0,0,0
17,"Taylor,Johnny","taylojo01",1997,0,0,0,0
18,"Anstey,Chris","anstech01",1997,0,0,0,0
19,"Pollard,Scot","pollasc01",1997,0,0,0,0
20,"Grant,Paul","grantpa01",1997,0,0,0,0
21,"Parker,Anthony","parkean01",1997,0,0,0,0
22,"Gray,Ed","grayed01",1997,0,0,0,0
