"series_code","away","home","winner","avg_margin","games","away_url","home_url","away_net","home_net","net","home_win"
"Denver Nuggets_Los Angeles Lakers_2009","Denver Nuggets","Los Angeles Lakers","Los Angeles Lakers",3.66666666666667,6,"/teams/DEN/2009.html","/teams/LAL/2009.html",3.39999999999999,7.60000000000001,4.20000000000002,1
"Cleveland Cavaliers_Orlando Magic_2009","Orlando Magic","Cleveland Cavaliers","Orlando Magic",-2.5,6,"/teams/ORL/2009.html","/teams/CLE/2009.html",6.59999999999999,8.89999999999999,2.3,0
"Los Angeles Lakers_Orlando Magic_2009","Orlando Magic","Los Angeles Lakers","Los Angeles Lakers",9.4,5,"/teams/ORL/2009.html","/teams/LAL/2009.html",6.59999999999999,7.60000000000001,1.00000000000001,1
"Cleveland Cavaliers_Washington Wizards_2008","Washington Wizards","Cleveland Cavaliers","Cleveland Cavaliers",3.33333333333333,6,"/teams/WAS/2008.html","/teams/CLE/2008.html",-0.400000000000006,-0.299999999999997,0.100000000000009,1
"Phoenix Suns_San Antonio Spurs_2008","Phoenix Suns","San Antonio Spurs","San Antonio Spurs",2,5,"/teams/PHO/2008.html","/teams/SAS/2008.html",5.09999999999999,4.80000000000001,-0.299999999999983,1
"Dallas Mavericks_New Orleans Hornets_2008","Dallas Mavericks","New Orleans Hornets","New Orleans Hornets",8.8,5,"/teams/DAL/2008.html","/teams/NOH/2008.html",4.5,5.30000000000001,0.800000000000011,1
"Houston Rockets_Utah Jazz_2008","Utah Jazz","Houston Rockets","Utah Jazz",-2.5,6,"/teams/UTA/2008.html","/teams/HOU/2008.html",6.90000000000001,4.7,-2.2,0
"Orlando Magic_Toronto Raptors_2008","Toronto Raptors","Orlando Magic","Orlando Magic",4.6,5,"/teams/TOR/2008.html","/teams/ORL/2008.html",2.90000000000001,5.5,2.59999999999999,1
"Denver Nuggets_Los Angeles Lakers_2008","Denver Nuggets","Los Angeles Lakers","Los Angeles Lakers",13.25,4,"/teams/DEN/2008.html","/teams/LAL/2008.html",3.7,7.3,3.59999999999999,1
"Detroit Pistons_Philadelphia 76ers_2008","Philadelphia 76ers","Detroit Pistons","Detroit Pistons",7,6,"/teams/PHI/2008.html","/teams/DET/2008.html",0.399999999999991,7.40000000000001,7.00000000000001,1
"Atlanta Hawks_Boston Celtics_2008","Atlanta Hawks","Boston Celtics","Boston Celtics",12,7,"/teams/ATL/2008.html","/teams/BOS/2008.html",-1.8,10.2,12,1
"Detroit Pistons_Orlando Magic_2008","Orlando Magic","Detroit Pistons","Detroit Pistons",1.4,5,"/teams/ORL/2008.html","/teams/DET/2008.html",5.5,7.40000000000001,1.90000000000001,1
"New Orleans Hornets_San Antonio Spurs_2008","San Antonio Spurs","New Orleans Hornets","San Antonio Spurs",0,7,"/teams/SAS/2008.html","/teams/NOH/2008.html",4.80000000000001,5.30000000000001,0.5,0
"Los Angeles Lakers_Utah Jazz_2008","Utah Jazz","Los Angeles Lakers","Los Angeles Lakers",3,6,"/teams/UTA/2008.html","/teams/LAL/2008.html",6.90000000000001,7.3,0.399999999999991,1
"Boston Celtics_Cleveland Cavaliers_2008","Cleveland Cavaliers","Boston Celtics","Boston Celtics",-1.14285714285714,7,"/teams/CLE/2008.html","/teams/BOS/2008.html",-0.299999999999997,10.2,10.5,1
"Boston Celtics_Detroit Pistons_2008","Detroit Pistons","Boston Celtics","Boston Celtics",1.66666666666667,6,"/teams/DET/2008.html","/teams/BOS/2008.html",7.40000000000001,10.2,2.8,1
"Los Angeles Lakers_San Antonio Spurs_2008","San Antonio Spurs","Los Angeles Lakers","Los Angeles Lakers",5,5,"/teams/SAS/2008.html","/teams/LAL/2008.html",4.80000000000001,7.3,2.49999999999999,1
"Boston Celtics_Los Angeles Lakers_2008","Los Angeles Lakers","Boston Celtics","Boston Celtics",8.33333333333333,6,"/teams/LAL/2008.html","/teams/BOS/2008.html",7.3,10.2,2.90000000000001,1
"New Jersey Nets_Toronto Raptors_2007","New Jersey Nets","Toronto Raptors","New Jersey Nets",-5.33333333333333,6,"/teams/NJN/2007.html","/teams/TOR/2007.html",-0.700000000000003,1,1.7,0
"Chicago Bulls_Miami Heat_2007","Miami Heat","Chicago Bulls","Chicago Bulls",11,4,"/teams/MIA/2007.html","/teams/CHI/2007.html",-0.900000000000006,5,5.90000000000001,1
"Detroit Pistons_Orlando Magic_2007","Orlando Magic","Detroit Pistons","Detroit Pistons",9,4,"/teams/ORL/2007.html","/teams/DET/2007.html",0.799999999999997,4.2,3.40000000000001,1
"Houston Rockets_Utah Jazz_2007","Utah Jazz","Houston Rockets","Utah Jazz",-3.14285714285714,7,"/teams/UTA/2007.html","/teams/HOU/2007.html",2.90000000000001,4.90000000000001,2,0
"Cleveland Cavaliers_Washington Wizards_2007","Washington Wizards","Cleveland Cavaliers","Cleveland Cavaliers",8.75,4,"/teams/WAS/2007.html","/teams/CLE/2007.html",-0.600000000000009,3.89999999999999,4.5,1
